,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
57,medium1k,nomic,mean,cosine,knn70,gmm70,1.0,1.0,0.0,2.3538881882802762
58,medium1k,nomic,mean,cosine,knn70,gmm70,2.0,69.0,0.033,2.3538881882802762
59,medium1k,nomic,mean,cosine,knn70,gmm70,3.0,1999.0,0.965,2.3538881882802762
60,medium1k,nomic,mean,cosine,knn_mst50,kmeans50,1.0,3.0,0.001,2.5320527183788792
61,medium1k,nomic,mean,cosine,knn_mst50,kmeans50,2.0,49.0,0.024,2.5320527183788792
62,medium1k,nomic,mean,cosine,knn_mst50,kmeans50,3.0,1997.0,0.974,2.5320527183788792
63,medium1k,nomic,mean,cosine,knn_mst50,kmeans70,1.0,388.0,0.187,2.565734452066513
64,medium1k,nomic,mean,cosine,knn_mst50,kmeans70,2.0,50.0,0.024,2.565734452066513
65,medium1k,nomic,mean,cosine,knn_mst50,kmeans70,3.0,1554.0,0.75,2.565734452066513
66,medium1k,nomic,mean,cosine,knn_mst50,gmm50,1.0,6.0,0.003,2.474199737387675
67,medium1k,nomic,mean,cosine,knn_mst50,gmm50,2.0,49.0,0.024,2.474199737387675
68,medium1k,nomic,mean,cosine,knn_mst50,gmm50,3.0,1991.0,0.971,2.474199737387675
69,medium1k,nomic,mean,cosine,knn_mst50,gmm70,1.0,397.0,0.192,2.4447197868824007
70,medium1k,nomic,mean,cosine,knn_mst50,gmm70,2.0,50.0,0.024,2.4447197868824007
71,medium1k,nomic,mean,cosine,knn_mst50,gmm70,3.0,1553.0,0.75,2.4447197868824007
72,medium1k,nomic,mean,cosine,knn_mst70,kmeans50,1.0,3.0,0.001,2.4163611004788588
73,medium1k,nomic,mean,cosine,knn_mst70,kmeans50,2.0,49.0,0.024,2.4163611004788588
74,medium1k,nomic,mean,cosine,knn_mst70,kmeans50,3.0,1997.0,0.974,2.4163611004788588
75,medium1k,nomic,mean,cosine,knn_mst70,kmeans70,1.0,2.0,0.001,2.481785916146778
76,medium1k,nomic,mean,cosine,knn_mst70,kmeans70,2.0,69.0,0.033,2.481785916146778
77,medium1k,nomic,mean,cosine,knn_mst70,kmeans70,3.0,1998.0,0.965,2.481785916146778
78,medium1k,nomic,mean,cosine,knn_mst70,gmm50,1.0,6.0,0.003,2.453619076343293
79,medium1k,nomic,mean,cosine,knn_mst70,gmm50,2.0,49.0,0.024,2.453619076343293
80,medium1k,nomic,mean,cosine,knn_mst70,gmm50,3.0,1991.0,0.971,2.453619076343293
81,medium1k,nomic,mean,cosine,knn_mst70,gmm70,1.0,1.0,0.0,2.446804530241273
82,medium1k,nomic,mean,cosine,knn_mst70,gmm70,2.0,69.0,0.033,2.446804530241273
83,medium1k,nomic,mean,cosine,knn_mst70,gmm70,3.0,1999.0,0.965,2.446804530241273
84,medium1k,nomic,mean,cosine,threshold0.5,kmeans50,1.0,3.0,0.001,2.439151536015903
85,medium1k,nomic,mean,cosine,threshold0.5,kmeans50,2.0,49.0,0.024,2.439151536015903
86,medium1k,nomic,mean,cosine,threshold0.5,kmeans50,3.0,1997.0,0.974,2.439151536015903
87,medium1k,nomic,mean,cosine,threshold0.5,kmeans70,1.0,2.0,0.001,2.5633730406456805
88,medium1k,nomic,mean,cosine,threshold0.5,kmeans70,2.0,69.0,0.033,2.5633730406456805
89,medium1k,nomic,mean,cosine,threshold0.5,kmeans70,3.0,1998.0,0.965,2.5633730406456805
90,medium1k,nomic,mean,cosine,threshold0.5,gmm50,1.0,6.0,0.003,2.39558071887012
91,medium1k,nomic,mean,cosine,threshold0.5,gmm50,2.0,49.0,0.024,2.39558071887012
92,medium1k,nomic,mean,cosine,threshold0.5,gmm50,3.0,1991.0,0.971,2.39558071887012
93,medium1k,nomic,mean,cosine,threshold0.5,gmm70,1.0,1.0,0.0,2.377284311366916
94,medium1k,nomic,mean,cosine,threshold0.5,gmm70,2.0,69.0,0.033,2.377284311366916
95,medium1k,nomic,mean,cosine,threshold0.5,gmm70,3.0,1999.0,0.965,2.377284311366916
96,medium1k,nomic,mean,cosine,threshold0.7,kmeans50,1.0,3.0,0.001,2.442082385792107
97,medium1k,nomic,mean,cosine,threshold0.7,kmeans50,2.0,49.0,0.024,2.442082385792107
98,medium1k,nomic,mean,cosine,threshold0.7,kmeans50,3.0,1997.0,0.974,2.442082385792107
99,medium1k,nomic,mean,cosine,threshold0.7,kmeans70,1.0,2.0,0.001,2.4327535318773847
100,medium1k,nomic,mean,cosine,threshold0.7,kmeans70,2.0,69.0,0.033,2.4327535318773847
101,medium1k,nomic,mean,cosine,threshold0.7,kmeans70,3.0,1998.0,0.965,2.4327535318773847
102,medium1k,nomic,mean,cosine,threshold0.7,gmm50,1.0,6.0,0.003,2.4546848609762373
103,medium1k,nomic,mean,cosine,threshold0.7,gmm50,2.0,49.0,0.024,2.4546848609762373
104,medium1k,nomic,mean,cosine,threshold0.7,gmm50,3.0,1991.0,0.971,2.4546848609762373
105,medium1k,nomic,mean,cosine,threshold0.7,gmm70,1.0,1.0,0.0,2.4084684737658097
106,medium1k,nomic,mean,cosine,threshold0.7,gmm70,2.0,69.0,0.033,2.4084684737658097
107,medium1k,nomic,mean,cosine,threshold0.7,gmm70,3.0,1999.0,0.965,2.4084684737658097
108,medium1k,nomic,mean,cosine,threshold0.9,kmeans50,1.0,281.0,0.137,2.7970475006902045
109,medium1k,nomic,mean,cosine,threshold0.9,kmeans50,2.0,368.0,0.179,2.7970475006902045
110,medium1k,nomic,mean,cosine,threshold0.9,kmeans50,3.0,494.0,0.241,2.7970475006902045
111,medium1k,nomic,mean,cosine,threshold0.9,kmeans70,1.0,371.0,0.179,2.616235839538887
112,medium1k,nomic,mean,cosine,threshold0.9,kmeans70,2.0,368.0,0.178,2.616235839538887
113,medium1k,nomic,mean,cosine,threshold0.9,kmeans70,3.0,266.0,0.128,2.616235839538887
114,medium1k,nomic,mean,cosine,threshold0.9,gmm50,1.0,204.0,0.099,2.6566400861970467
115,medium1k,nomic,mean,cosine,threshold0.9,gmm50,2.0,281.0,0.137,2.6566400861970467
116,medium1k,nomic,mean,cosine,threshold0.9,gmm50,3.0,901.0,0.439,2.6566400861970467
117,medium1k,nomic,mean,cosine,threshold0.9,gmm70,1.0,337.0,0.163,2.6656229796488424
118,medium1k,nomic,mean,cosine,threshold0.9,gmm70,2.0,358.0,0.173,2.6656229796488424
119,medium1k,nomic,mean,cosine,threshold0.9,gmm70,3.0,253.0,0.122,2.6656229796488424
120,medium1k,nomic,mean,cosine,mutual_knn50,kmeans50,1.0,3.0,0.001,2.4178962098682386
121,medium1k,nomic,mean,cosine,mutual_knn50,kmeans50,2.0,49.0,0.024,2.4178962098682386
122,medium1k,nomic,mean,cosine,mutual_knn50,kmeans50,3.0,1997.0,0.974,2.4178962098682386
123,medium1k,nomic,mean,cosine,mutual_knn50,kmeans70,1.0,1420.0,0.686,2.4791087795546467
124,medium1k,nomic,mean,cosine,mutual_knn50,kmeans70,2.0,49.0,0.024,2.4791087795546467
125,medium1k,nomic,mean,cosine,mutual_knn50,kmeans70,3.0,230.0,0.111,2.4791087795546467
126,medium1k,nomic,mean,cosine,mutual_knn50,gmm50,1.0,6.0,0.003,2.4669637112390426
127,medium1k,nomic,mean,cosine,mutual_knn50,gmm50,2.0,49.0,0.024,2.4669637112390426
128,medium1k,nomic,mean,cosine,mutual_knn50,gmm50,3.0,1991.0,0.971,2.4669637112390426
129,medium1k,nomic,mean,cosine,mutual_knn50,gmm70,1.0,1346.0,0.65,2.4259075118736786
130,medium1k,nomic,mean,cosine,mutual_knn50,gmm70,2.0,92.0,0.044,2.4259075118736786
131,medium1k,nomic,mean,cosine,mutual_knn50,gmm70,3.0,253.0,0.122,2.4259075118736786
132,medium1k,nomic,mean,cosine,mutual_knn70,kmeans50,1.0,3.0,0.001,2.358442564999185
133,medium1k,nomic,mean,cosine,mutual_knn70,kmeans50,2.0,49.0,0.024,2.358442564999185
134,medium1k,nomic,mean,cosine,mutual_knn70,kmeans50,3.0,1997.0,0.974,2.358442564999185
135,medium1k,nomic,mean,cosine,mutual_knn70,kmeans70,1.0,2.0,0.001,2.4808316926161447
136,medium1k,nomic,mean,cosine,mutual_knn70,kmeans70,2.0,69.0,0.033,2.4808316926161447
137,medium1k,nomic,mean,cosine,mutual_knn70,kmeans70,3.0,1998.0,0.965,2.4808316926161447
138,medium1k,nomic,mean,cosine,mutual_knn70,gmm50,1.0,6.0,0.003,2.4654497222035334
139,medium1k,nomic,mean,cosine,mutual_knn70,gmm50,2.0,49.0,0.024,2.4654497222035334
140,medium1k,nomic,mean,cosine,mutual_knn70,gmm50,3.0,1991.0,0.971,2.4654497222035334
141,medium1k,nomic,mean,cosine,mutual_knn70,gmm70,1.0,1.0,0.0,2.3610913583832067
142,medium1k,nomic,mean,cosine,mutual_knn70,gmm70,2.0,69.0,0.033,2.3610913583832067
