,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
10,arXiv0_200,nomic,mean,dbscan_eps0.1_min10,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
11,arXiv0_200,nomic,mean,dbscan_eps0.1_min15,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
12,arXiv0_200,nomic,mean,dbscan_eps0.3_min3,0.061,0.255,"{'Computer Science': 1.0, 'Machine Learning': 0.741, 'Artificial Intelligence': 0.388, 'Physics': 0.312, 'Computer Vision and Pattern Recognition': 0.271, 'Computation and Language': 0.188, 'Mathematics': 0.214, 'Statistics': 0.153, 'Computers and Society': 0.089, 'Electrical Engineering and Systems Science': 0.098, 'Information Retrieval': 0.098, 'Optimization and Control': 0.062, 'Human-Computer Interaction': 0.059, 'Quantum Physics': 0.062, 'Audio and Speech Processing': 0.045}","{'Computer Science': 0.122, 'Machine Learning': 0.09, 'Artificial Intelligence': 0.047, 'Physics': 0.05, 'Computer Vision and Pattern Recognition': 0.033, 'Computation and Language': 0.023, 'Mathematics': 0.034, 'Statistics': 0.019, 'Computers and Society': 0.014, 'Electrical Engineering and Systems Science': 0.016, 'Information Retrieval': 0.016, 'Optimization and Control': 0.01, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.007}"
13,arXiv0_200,nomic,mean,dbscan_eps0.3_min5,0.053,0.232,"{'Computer Science': 0.641, 'Machine Learning': 0.765, 'Artificial Intelligence': 0.273, 'Physics': 0.281, 'Computer Vision and Pattern Recognition': 0.279, 'Computation and Language': 0.141, 'Mathematics': 0.195, 'Statistics': 0.176, 'Computers and Society': 0.094, 'Electrical Engineering and Systems Science': 0.109, 'Information Retrieval': 0.109, 'Optimization and Control': 0.062, 'Human-Computer Interaction': 0.074, 'Quantum Physics': 0.055, 'Audio and Speech Processing': 0.039}","{'Computer Science': 0.117, 'Machine Learning': 0.074, 'Artificial Intelligence': 0.05, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.027, 'Computation and Language': 0.026, 'Mathematics': 0.036, 'Statistics': 0.017, 'Computers and Society': 0.017, 'Electrical Engineering and Systems Science': 0.02, 'Information Retrieval': 0.02, 'Optimization and Control': 0.011, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.007}"
14,arXiv0_200,nomic,mean,dbscan_eps0.3_min10,0.04,0.224,"{'Computer Science': 0.716, 'Machine Learning': 0.389, 'Artificial Intelligence': 0.327, 'Physics': 0.222, 'Computer Vision and Pattern Recognition': 0.16, 'Computation and Language': 0.173, 'Mathematics': 0.154, 'Statistics': 0.068, 'Computers and Society': 0.105, 'Electrical Engineering and Systems Science': 0.099, 'Information Retrieval': 0.086, 'Optimization and Control': 0.049, 'Human-Computer Interaction': 0.043, 'Quantum Physics': 0.043, 'Audio and Speech Processing': 0.043}","{'Computer Science': 0.166, 'Machine Learning': 0.09, 'Artificial Intelligence': 0.076, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.037, 'Computation and Language': 0.04, 'Mathematics': 0.036, 'Statistics': 0.016, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.011, 'Human-Computer Interaction': 0.01, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
15,arXiv0_200,nomic,mean,dbscan_eps0.3_min15,0.018,0.204,"{'Computer Science': 0.747, 'Machine Learning': 0.445, 'Artificial Intelligence': 0.319, 'Physics': 0.198, 'Computer Vision and Pattern Recognition': 0.143, 'Computation and Language': 0.17, 'Mathematics': 0.159, 'Statistics': 0.093, 'Computers and Society': 0.093, 'Electrical Engineering and Systems Science': 0.088, 'Information Retrieval': 0.077, 'Optimization and Control': 0.066, 'Human-Computer Interaction': 0.038, 'Quantum Physics': 0.038, 'Audio and Speech Processing': 0.038}","{'Computer Science': 0.195, 'Machine Learning': 0.116, 'Artificial Intelligence': 0.083, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.037, 'Computation and Language': 0.044, 'Mathematics': 0.041, 'Statistics': 0.024, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.01, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
16,arXiv0_200,nomic,mean,dbscan_eps0.5_min3,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
17,arXiv0_200,nomic,mean,dbscan_eps0.5_min5,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
18,arXiv0_200,nomic,mean,dbscan_eps0.5_min10,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
19,arXiv0_200,nomic,mean,dbscan_eps0.5_min15,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
