,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
10,arXiv0_200,mpnet,mean,dbscan_eps0.1_min10,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
11,arXiv0_200,mpnet,mean,dbscan_eps0.1_min15,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
12,arXiv0_200,mpnet,mean,dbscan_eps0.3_min3,0.03,0.308,"{'Computer Science': 0.754, 'Machine Learning': 0.487, 'Artificial Intelligence': 0.305, 'Physics': 0.193, 'Computer Vision and Pattern Recognition': 0.166, 'Computation and Language': 0.15, 'Mathematics': 0.16, 'Statistics': 0.118, 'Computers and Society': 0.091, 'Electrical Engineering and Systems Science': 0.075, 'Information Retrieval': 0.075, 'Optimization and Control': 0.064, 'Human-Computer Interaction': 0.511, 'Quantum Physics': 0.037, 'Audio and Speech Processing': 0.037}","{'Computer Science': 0.202, 'Machine Learning': 0.13, 'Artificial Intelligence': 0.082, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.044, 'Computation and Language': 0.04, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.02, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
13,arXiv0_200,mpnet,mean,dbscan_eps0.3_min5,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
14,arXiv0_200,mpnet,mean,dbscan_eps0.3_min10,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
15,arXiv0_200,mpnet,mean,dbscan_eps0.3_min15,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
16,arXiv0_200,mpnet,mean,dbscan_eps0.5_min3,0.096,0.369,"{'Computer Science': 1.0, 'Machine Learning': 0.755, 'Artificial Intelligence': 0.425, 'Physics': 0.364, 'Computer Vision and Pattern Recognition': 0.264, 'Computation and Language': 0.198, 'Mathematics': 0.261, 'Statistics': 0.142, 'Computers and Society': 0.148, 'Electrical Engineering and Systems Science': 0.085, 'Information Retrieval': 0.073, 'Optimization and Control': 0.062, 'Human-Computer Interaction': 0.057, 'Quantum Physics': 0.057, 'Audio and Speech Processing': 0.047}","{'Computer Science': 0.152, 'Machine Learning': 0.114, 'Artificial Intelligence': 0.064, 'Physics': 0.046, 'Computer Vision and Pattern Recognition': 0.04, 'Computation and Language': 0.03, 'Mathematics': 0.033, 'Statistics': 0.021, 'Computers and Society': 0.019, 'Electrical Engineering and Systems Science': 0.013, 'Information Retrieval': 0.01, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.009, 'Quantum Physics': 0.007, 'Audio and Speech Processing': 0.007}"
17,arXiv0_200,mpnet,mean,dbscan_eps0.5_min5,0.078,0.313,"{'Computer Science': 1.0, 'Machine Learning': 0.735, 'Artificial Intelligence': 0.408, 'Physics': 0.361, 'Computer Vision and Pattern Recognition': 0.286, 'Computation and Language': 0.194, 'Mathematics': 0.237, 'Statistics': 0.153, 'Computers and Society': 0.165, 'Electrical Engineering and Systems Science': 0.093, 'Information Retrieval': 0.072, 'Optimization and Control': 0.062, 'Human-Computer Interaction': 0.061, 'Quantum Physics': 0.072, 'Audio and Speech Processing': 0.041}","{'Computer Science': 0.14, 'Machine Learning': 0.103, 'Artificial Intelligence': 0.057, 'Physics': 0.05, 'Computer Vision and Pattern Recognition': 0.04, 'Computation and Language': 0.027, 'Mathematics': 0.033, 'Statistics': 0.021, 'Computers and Society': 0.023, 'Electrical Engineering and Systems Science': 0.013, 'Information Retrieval': 0.01, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.009, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.006}"
18,arXiv0_200,mpnet,mean,dbscan_eps0.5_min10,0.051,0.247,"{'Computer Science': 0.635, 'Machine Learning': 0.689, 'Artificial Intelligence': 0.322, 'Physics': 0.278, 'Computer Vision and Pattern Recognition': 0.351, 'Computation and Language': 0.216, 'Mathematics': 0.19, 'Statistics': 0.176, 'Computers and Society': 0.127, 'Electrical Engineering and Systems Science': 0.095, 'Information Retrieval': 0.103, 'Optimization and Control': 0.056, 'Human-Computer Interaction': 0.056, 'Quantum Physics': 0.056, 'Audio and Speech Processing': 0.048}","{'Computer Science': 0.114, 'Machine Learning': 0.073, 'Artificial Intelligence': 0.043, 'Physics': 0.05, 'Computer Vision and Pattern Recognition': 0.037, 'Computation and Language': 0.023, 'Mathematics': 0.034, 'Statistics': 0.019, 'Computers and Society': 0.023, 'Electrical Engineering and Systems Science': 0.017, 'Information Retrieval': 0.019, 'Optimization and Control': 0.01, 'Human-Computer Interaction': 0.01, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.009}"
19,arXiv0_200,mpnet,mean,dbscan_eps0.5_min15,0.027,0.214,"{'Computer Science': 0.729, 'Machine Learning': 0.418, 'Artificial Intelligence': 0.312, 'Physics': 0.212, 'Computer Vision and Pattern Recognition': 0.141, 'Computation and Language': 0.176, 'Mathematics': 0.171, 'Statistics': 0.094, 'Computers and Society': 0.1, 'Electrical Engineering and Systems Science': 0.088, 'Information Retrieval': 0.082, 'Optimization and Control': 0.071, 'Human-Computer Interaction': 0.047, 'Quantum Physics': 0.041, 'Audio and Speech Processing': 0.041}","{'Computer Science': 0.177, 'Machine Learning': 0.102, 'Artificial Intelligence': 0.076, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.034, 'Computation and Language': 0.043, 'Mathematics': 0.041, 'Statistics': 0.023, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.021, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
