,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
83,medium1k,minilm,mean,cosine,knn_mst70,gmm70,3.0,1995.0,0.963,2.089765493436293
84,medium1k,minilm,mean,cosine,threshold0.5,kmeans50,1.0,6.0,0.003,1.9766972655988444
85,medium1k,minilm,mean,cosine,threshold0.5,kmeans50,2.0,49.0,0.024,1.9766972655988444
86,medium1k,minilm,mean,cosine,threshold0.5,kmeans50,3.0,1994.0,0.972,1.9766972655988444
87,medium1k,minilm,mean,cosine,threshold0.5,kmeans70,1.0,4.0,0.002,1.9393482903639476
88,medium1k,minilm,mean,cosine,threshold0.5,kmeans70,2.0,69.0,0.033,1.9393482903639476
89,medium1k,minilm,mean,cosine,threshold0.5,kmeans70,3.0,1996.0,0.964,1.9393482903639476
90,medium1k,minilm,mean,cosine,threshold0.5,gmm50,1.0,46.0,0.022,1.9890715572770556
91,medium1k,minilm,mean,cosine,threshold0.5,gmm50,2.0,49.0,0.024,1.9890715572770556
92,medium1k,minilm,mean,cosine,threshold0.5,gmm50,3.0,1950.0,0.951,1.9890715572770556
93,medium1k,minilm,mean,cosine,threshold0.5,gmm70,1.0,3.0,0.001,2.117666533946991
94,medium1k,minilm,mean,cosine,threshold0.5,gmm70,2.0,69.0,0.033,2.117666533946991
95,medium1k,minilm,mean,cosine,threshold0.5,gmm70,3.0,1995.0,0.963,2.117666533946991
96,medium1k,minilm,mean,cosine,threshold0.7,kmeans50,1.0,962.0,0.469,2.293467992518146
97,medium1k,minilm,mean,cosine,threshold0.7,kmeans50,2.0,409.0,0.199,2.293467992518146
98,medium1k,minilm,mean,cosine,threshold0.7,kmeans50,3.0,312.0,0.152,2.293467992518146
99,medium1k,minilm,mean,cosine,threshold0.7,kmeans70,1.0,992.0,0.479,2.490410085461566
100,medium1k,minilm,mean,cosine,threshold0.7,kmeans70,2.0,463.0,0.224,2.490410085461566
101,medium1k,minilm,mean,cosine,threshold0.7,kmeans70,3.0,236.0,0.114,2.490410085461566
102,medium1k,minilm,mean,cosine,threshold0.7,gmm50,1.0,475.0,0.232,2.5270743572618812
103,medium1k,minilm,mean,cosine,threshold0.7,gmm50,2.0,333.0,0.162,2.5270743572618812
104,medium1k,minilm,mean,cosine,threshold0.7,gmm50,3.0,1049.0,0.511,2.5270743572618812
105,medium1k,minilm,mean,cosine,threshold0.7,gmm70,1.0,516.0,0.249,2.3881090813212924
106,medium1k,minilm,mean,cosine,threshold0.7,gmm70,2.0,368.0,0.178,2.3881090813212924
107,medium1k,minilm,mean,cosine,threshold0.7,gmm70,3.0,941.0,0.454,2.3881090813212924
108,medium1k,minilm,mean,cosine,threshold0.9,kmeans50,1.0,59.0,0.029,2.9223509552032967
109,medium1k,minilm,mean,cosine,threshold0.9,kmeans50,2.0,43.0,0.021,2.9223509552032967
110,medium1k,minilm,mean,cosine,threshold0.9,kmeans50,3.0,25.0,0.012,2.9223509552032967
111,medium1k,minilm,mean,cosine,threshold0.9,kmeans70,1.0,62.0,0.03,2.8932363034435435
112,medium1k,minilm,mean,cosine,threshold0.9,kmeans70,2.0,40.0,0.019,2.8932363034435435
113,medium1k,minilm,mean,cosine,threshold0.9,kmeans70,3.0,19.0,0.009,2.8932363034435435
114,medium1k,minilm,mean,cosine,threshold0.9,gmm50,1.0,56.0,0.027,2.8849529766284667
115,medium1k,minilm,mean,cosine,threshold0.9,gmm50,2.0,89.0,0.043,2.8849529766284667
116,medium1k,minilm,mean,cosine,threshold0.9,gmm50,3.0,96.0,0.047,2.8849529766284667
117,medium1k,minilm,mean,cosine,threshold0.9,gmm70,1.0,57.0,0.028,2.747329178814576
118,medium1k,minilm,mean,cosine,threshold0.9,gmm70,2.0,44.0,0.021,2.747329178814576
119,medium1k,minilm,mean,cosine,threshold0.9,gmm70,3.0,25.0,0.012,2.747329178814576
120,medium1k,minilm,mean,cosine,mutual_knn50,kmeans50,1.0,6.0,0.003,2.071099684028428
121,medium1k,minilm,mean,cosine,mutual_knn50,kmeans50,2.0,49.0,0.024,2.071099684028428
122,medium1k,minilm,mean,cosine,mutual_knn50,kmeans50,3.0,1994.0,0.972,2.071099684028428
123,medium1k,minilm,mean,cosine,mutual_knn50,kmeans70,1.0,617.0,0.298,2.139045123381637
124,medium1k,minilm,mean,cosine,mutual_knn50,kmeans70,2.0,71.0,0.034,2.139045123381637
125,medium1k,minilm,mean,cosine,mutual_knn50,kmeans70,3.0,1197.0,0.578,2.139045123381637
126,medium1k,minilm,mean,cosine,mutual_knn50,gmm50,1.0,46.0,0.022,2.1069954313958683
127,medium1k,minilm,mean,cosine,mutual_knn50,gmm50,2.0,49.0,0.024,2.1069954313958683
128,medium1k,minilm,mean,cosine,mutual_knn50,gmm50,3.0,1950.0,0.951,2.1069954313958683
129,medium1k,minilm,mean,cosine,mutual_knn50,gmm70,1.0,456.0,0.22,2.177713325065849
130,medium1k,minilm,mean,cosine,mutual_knn50,gmm70,2.0,57.0,0.028,2.177713325065849
131,medium1k,minilm,mean,cosine,mutual_knn50,gmm70,3.0,1455.0,0.703,2.177713325065849
132,medium1k,minilm,mean,cosine,mutual_knn70,kmeans50,1.0,6.0,0.003,2.0340699492094343
133,medium1k,minilm,mean,cosine,mutual_knn70,kmeans50,2.0,49.0,0.024,2.0340699492094343
134,medium1k,minilm,mean,cosine,mutual_knn70,kmeans50,3.0,1994.0,0.972,2.0340699492094343
135,medium1k,minilm,mean,cosine,mutual_knn70,kmeans70,1.0,4.0,0.002,2.159829762989077
136,medium1k,minilm,mean,cosine,mutual_knn70,kmeans70,2.0,69.0,0.033,2.159829762989077
137,medium1k,minilm,mean,cosine,mutual_knn70,kmeans70,3.0,1996.0,0.964,2.159829762989077
138,medium1k,minilm,mean,cosine,mutual_knn70,gmm50,1.0,46.0,0.022,1.9586813191197954
139,medium1k,minilm,mean,cosine,mutual_knn70,gmm50,2.0,49.0,0.024,1.9586813191197954
140,medium1k,minilm,mean,cosine,mutual_knn70,gmm50,3.0,1950.0,0.951,1.9586813191197954
141,medium1k,minilm,mean,cosine,mutual_knn70,gmm70,1.0,3.0,0.001,2.105765206348605
142,medium1k,minilm,mean,cosine,mutual_knn70,gmm70,2.0,69.0,0.033,2.105765206348605
143,medium1k,minilm,mean,cosine,mutual_knn70,gmm70,3.0,1995.0,0.963,2.105765206348605
144,medium1k,minilm,mean,cosine,spectral50,kmeans50,,,,
145,medium1k,minilm,mean,cosine,spectral50,kmeans70,,,,
146,medium1k,minilm,mean,cosine,spectral50,gmm50,,,,
147,medium1k,minilm,mean,cosine,spectral50,gmm70,,,,
148,medium1k,minilm,mean,cosine,spectral70,kmeans50,,,,
149,medium1k,minilm,mean,cosine,spectral70,kmeans70,,,,
150,medium1k,minilm,mean,cosine,spectral70,gmm50,,,,
151,medium1k,minilm,mean,cosine,spectral70,gmm70,,,,
152,medium1k,minilm,mean,soft_cosine,random5,kmeans50,1.0,272.0,0.133,2.7516941279879115
153,medium1k,minilm,mean,soft_cosine,random5,kmeans50,2.0,799.0,0.39,2.7516941279879115
154,medium1k,minilm,mean,soft_cosine,random5,kmeans50,3.0,594.0,0.29,2.7516941279879115
155,medium1k,minilm,mean,soft_cosine,random5,kmeans70,1.0,433.0,0.209,2.4951583156623993
156,medium1k,minilm,mean,soft_cosine,random5,kmeans70,2.0,847.0,0.409,2.4951583156623993
157,medium1k,minilm,mean,soft_cosine,random5,kmeans70,3.0,414.0,0.2,2.4951583156623993
158,medium1k,minilm,mean,soft_cosine,random5,gmm50,1.0,305.0,0.149,2.7495280749236164
159,medium1k,minilm,mean,soft_cosine,random5,gmm50,2.0,896.0,0.437,2.7495280749236164
160,medium1k,minilm,mean,soft_cosine,random5,gmm50,3.0,478.0,0.233,2.7495280749236164
161,medium1k,minilm,mean,soft_cosine,random5,gmm70,1.0,447.0,0.216,2.7215917086651347
162,medium1k,minilm,mean,soft_cosine,random5,gmm70,2.0,836.0,0.404,2.7215917086651347
163,medium1k,minilm,mean,soft_cosine,random5,gmm70,3.0,475.0,0.229,2.7215917086651347
164,medium1k,minilm,mean,soft_cosine,random10,kmeans50,1.0,419.0,0.204,2.3662411274900474
165,medium1k,minilm,mean,soft_cosine,random10,kmeans50,2.0,551.0,0.269,2.3662411274900474
166,medium1k,minilm,mean,soft_cosine,random10,kmeans50,3.0,757.0,0.369,2.3662411274900474
167,medium1k,minilm,mean,soft_cosine,random10,kmeans70,1.0,681.0,0.329,2.3779522876355275
168,medium1k,minilm,mean,soft_cosine,random10,kmeans70,2.0,606.0,0.293,2.3779522876355275
169,medium1k,minilm,mean,soft_cosine,random10,kmeans70,3.0,406.0,0.196,2.3779522876355275
170,medium1k,minilm,mean,soft_cosine,random10,gmm50,1.0,378.0,0.184,2.481622809932587
171,medium1k,minilm,mean,soft_cosine,random10,gmm50,2.0,476.0,0.232,2.481622809932587
172,medium1k,minilm,mean,soft_cosine,random10,gmm50,3.0,903.0,0.44,2.481622809932587
173,medium1k,minilm,mean,soft_cosine,random10,gmm70,1.0,626.0,0.302,2.4385026972918284
174,medium1k,minilm,mean,soft_cosine,random10,gmm70,2.0,443.0,0.214,2.4385026972918284
175,medium1k,minilm,mean,soft_cosine,random10,gmm70,3.0,665.0,0.321,2.4385026972918284
176,medium1k,minilm,mean,soft_cosine,random25,kmeans50,1.0,362.0,0.176,2.16406371658263
177,medium1k,minilm,mean,soft_cosine,random25,kmeans50,2.0,187.0,0.091,2.16406371658263
178,medium1k,minilm,mean,soft_cosine,random25,kmeans50,3.0,1369.0,0.667,2.16406371658263
179,medium1k,minilm,mean,soft_cosine,random25,kmeans70,1.0,627.0,0.303,2.0918146529386745
180,medium1k,minilm,mean,soft_cosine,random25,kmeans70,2.0,159.0,0.077,2.0918146529386745
181,medium1k,minilm,mean,soft_cosine,random25,kmeans70,3.0,1082.0,0.522,2.0918146529386745
182,medium1k,minilm,mean,soft_cosine,random25,gmm50,1.0,261.0,0.127,2.1373214822278244
183,medium1k,minilm,mean,soft_cosine,random25,gmm50,2.0,144.0,0.07,2.1373214822278244
184,medium1k,minilm,mean,soft_cosine,random25,gmm50,3.0,1519.0,0.741,2.1373214822278244
185,medium1k,minilm,mean,soft_cosine,random25,gmm70,1.0,627.0,0.303,2.3088971063678647
186,medium1k,minilm,mean,soft_cosine,random25,gmm70,2.0,97.0,0.047,2.3088971063678647
187,medium1k,minilm,mean,soft_cosine,random25,gmm70,3.0,1182.0,0.571,2.3088971063678647
188,medium1k,minilm,mean,soft_cosine,knn50,kmeans50,1.0,6.0,0.003,1.997617517077193
189,medium1k,minilm,mean,soft_cosine,knn50,kmeans50,2.0,49.0,0.024,1.997617517077193
190,medium1k,minilm,mean,soft_cosine,knn50,kmeans50,3.0,1994.0,0.972,1.997617517077193
191,medium1k,minilm,mean,soft_cosine,knn50,kmeans70,1.0,55.0,0.027,2.1255527951763673
192,medium1k,minilm,mean,soft_cosine,knn50,kmeans70,2.0,64.0,0.031,2.1255527951763673
193,medium1k,minilm,mean,soft_cosine,knn50,kmeans70,3.0,1928.0,0.931,2.1255527951763673
194,medium1k,minilm,mean,soft_cosine,knn50,gmm50,1.0,46.0,0.022,2.027667560931028
195,medium1k,minilm,mean,soft_cosine,knn50,gmm50,2.0,49.0,0.024,2.027667560931028
196,medium1k,minilm,mean,soft_cosine,knn50,gmm50,3.0,1950.0,0.951,2.027667560931028
197,medium1k,minilm,mean,soft_cosine,knn50,gmm70,1.0,407.0,0.197,1.9366755187511444
198,medium1k,minilm,mean,soft_cosine,knn50,gmm70,2.0,50.0,0.024,1.9366755187511444
199,medium1k,minilm,mean,soft_cosine,knn50,gmm70,3.0,1537.0,0.742,1.9366755187511444
200,medium1k,minilm,mean,soft_cosine,knn70,kmeans50,1.0,6.0,0.003,2.045948955629553
201,medium1k,minilm,mean,soft_cosine,knn70,kmeans50,2.0,49.0,0.024,2.045948955629553
202,medium1k,minilm,mean,soft_cosine,knn70,kmeans50,3.0,1994.0,0.972,2.045948955629553
203,medium1k,minilm,mean,soft_cosine,knn70,kmeans70,1.0,4.0,0.002,2.044161263484139
204,medium1k,minilm,mean,soft_cosine,knn70,kmeans70,2.0,69.0,0.033,2.044161263484139
205,medium1k,minilm,mean,soft_cosine,knn70,kmeans70,3.0,1996.0,0.964,2.044161263484139
206,medium1k,minilm,mean,soft_cosine,knn70,gmm50,1.0,46.0,0.022,2.0873810079693795
207,medium1k,minilm,mean,soft_cosine,knn70,gmm50,2.0,49.0,0.024,2.0873810079693795
208,medium1k,minilm,mean,soft_cosine,knn70,gmm50,3.0,1950.0,0.951,2.0873810079693795
209,medium1k,minilm,mean,soft_cosine,knn70,gmm70,1.0,3.0,0.001,2.055242325994186
210,medium1k,minilm,mean,soft_cosine,knn70,gmm70,2.0,69.0,0.033,2.055242325994186
211,medium1k,minilm,mean,soft_cosine,knn70,gmm70,3.0,1995.0,0.963,2.055242325994186
212,medium1k,minilm,mean,soft_cosine,knn_mst50,kmeans50,1.0,6.0,0.003,2.1844732182953743
213,medium1k,minilm,mean,soft_cosine,knn_mst50,kmeans50,2.0,49.0,0.024,2.1844732182953743
214,medium1k,minilm,mean,soft_cosine,knn_mst50,kmeans50,3.0,1994.0,0.972,2.1844732182953743
215,medium1k,minilm,mean,soft_cosine,knn_mst50,kmeans70,1.0,55.0,0.027,2.0951022838024382
216,medium1k,minilm,mean,soft_cosine,knn_mst50,kmeans70,2.0,64.0,0.031,2.0951022838024382
217,medium1k,minilm,mean,soft_cosine,knn_mst50,kmeans70,3.0,1928.0,0.931,2.0951022838024382
218,medium1k,minilm,mean,soft_cosine,knn_mst50,gmm50,1.0,46.0,0.022,2.096990840435028
219,medium1k,minilm,mean,soft_cosine,knn_mst50,gmm50,2.0,49.0,0.024,2.096990840435028
220,medium1k,minilm,mean,soft_cosine,knn_mst50,gmm50,3.0,1950.0,0.951,2.096990840435028
221,medium1k,minilm,mean,soft_cosine,knn_mst50,gmm70,1.0,407.0,0.197,2.1573921300862966
222,medium1k,minilm,mean,soft_cosine,knn_mst50,gmm70,2.0,50.0,0.024,2.1573921300862966
223,medium1k,minilm,mean,soft_cosine,knn_mst50,gmm70,3.0,1537.0,0.742,2.1573921300862966
224,medium1k,minilm,mean,soft_cosine,knn_mst70,kmeans50,1.0,6.0,0.003,2.0079138732153523
225,medium1k,minilm,mean,soft_cosine,knn_mst70,kmeans50,2.0,49.0,0.024,2.0079138732153523
226,medium1k,minilm,mean,soft_cosine,knn_mst70,kmeans50,3.0,1994.0,0.972,2.0079138732153523
227,medium1k,minilm,mean,soft_cosine,knn_mst70,kmeans70,1.0,4.0,0.002,2.1500707268714905
228,medium1k,minilm,mean,soft_cosine,knn_mst70,kmeans70,2.0,69.0,0.033,2.1500707268714905
229,medium1k,minilm,mean,soft_cosine,knn_mst70,kmeans70,3.0,1996.0,0.964,2.1500707268714905
230,medium1k,minilm,mean,soft_cosine,knn_mst70,gmm50,1.0,46.0,0.022,2.12302562821335
231,medium1k,minilm,mean,soft_cosine,knn_mst70,gmm50,2.0,49.0,0.024,2.12302562821335
232,medium1k,minilm,mean,soft_cosine,knn_mst70,gmm50,3.0,1950.0,0.951,2.12302562821335
233,medium1k,minilm,mean,soft_cosine,knn_mst70,gmm70,1.0,3.0,0.001,1.9939986166578751
234,medium1k,minilm,mean,soft_cosine,knn_mst70,gmm70,2.0,69.0,0.033,1.9939986166578751
235,medium1k,minilm,mean,soft_cosine,knn_mst70,gmm70,3.0,1995.0,0.963,1.9939986166578751
236,medium1k,minilm,mean,soft_cosine,threshold0.5,kmeans50,1.0,9.0,0.004,2.216368074538887
237,medium1k,minilm,mean,soft_cosine,threshold0.5,kmeans50,2.0,50.0,0.024,2.216368074538887
238,medium1k,minilm,mean,soft_cosine,threshold0.5,kmeans50,3.0,1988.0,0.969,2.216368074538887
239,medium1k,minilm,mean,soft_cosine,threshold0.5,kmeans70,1.0,9.0,0.004,1.9133853105360588
240,medium1k,minilm,mean,soft_cosine,threshold0.5,kmeans70,2.0,68.0,0.033,1.9133853105360588
241,medium1k,minilm,mean,soft_cosine,threshold0.5,kmeans70,3.0,1991.0,0.961,1.9133853105360588
242,medium1k,minilm,mean,soft_cosine,threshold0.5,gmm50,1.0,46.0,0.022,2.1171309748211424
243,medium1k,minilm,mean,soft_cosine,threshold0.5,gmm50,2.0,49.0,0.024,2.1171309748211424
244,medium1k,minilm,mean,soft_cosine,threshold0.5,gmm50,3.0,1950.0,0.951,2.1171309748211424
245,medium1k,minilm,mean,soft_cosine,threshold0.5,gmm70,1.0,12.0,0.006,2.112519057007397
246,medium1k,minilm,mean,soft_cosine,threshold0.5,gmm70,2.0,69.0,0.033,2.112519057007397
247,medium1k,minilm,mean,soft_cosine,threshold0.5,gmm70,3.0,1984.0,0.958,2.112519057007397
248,medium1k,minilm,mean,soft_cosine,threshold0.7,kmeans50,1.0,704.0,0.343,2.327490043394344
249,medium1k,minilm,mean,soft_cosine,threshold0.7,kmeans50,2.0,294.0,0.143,2.327490043394344
250,medium1k,minilm,mean,soft_cosine,threshold0.7,kmeans50,3.0,807.0,0.393,2.327490043394344
251,medium1k,minilm,mean,soft_cosine,threshold0.7,kmeans70,1.0,947.0,0.457,2.4690668943027654
252,medium1k,minilm,mean,soft_cosine,threshold0.7,kmeans70,2.0,392.0,0.189,2.4690668943027654
253,medium1k,minilm,mean,soft_cosine,threshold0.7,kmeans70,3.0,378.0,0.183,2.4690668943027654
254,medium1k,minilm,mean,soft_cosine,threshold0.7,gmm50,1.0,119.0,0.058,2.1414842828539493
255,medium1k,minilm,mean,soft_cosine,threshold0.7,gmm50,2.0,166.0,0.081,2.1414842828539493
256,medium1k,minilm,mean,soft_cosine,threshold0.7,gmm50,3.0,1703.0,0.83,2.1414842828539493
257,medium1k,minilm,mean,soft_cosine,threshold0.7,gmm70,1.0,357.0,0.172,2.1635867516790626
258,medium1k,minilm,mean,soft_cosine,threshold0.7,gmm70,2.0,316.0,0.153,2.1635867516790626
