,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
0,medium1k,minilm,mean,cosine,random5,kmeans50,1.0,329.0,0.16,2.4877302604944593
1,medium1k,minilm,mean,cosine,random5,kmeans50,2.0,927.0,0.452,2.4877302604944593
2,medium1k,minilm,mean,cosine,random5,kmeans50,3.0,412.0,0.201,2.4877302604944593
3,medium1k,minilm,mean,cosine,random5,kmeans70,1.0,427.0,0.206,2.65028777718544
4,medium1k,minilm,mean,cosine,random5,kmeans70,2.0,825.0,0.398,2.65028777718544
5,medium1k,minilm,mean,cosine,random5,kmeans70,3.0,438.0,0.211,2.65028777718544
6,medium1k,minilm,mean,cosine,random5,gmm50,1.0,265.0,0.129,2.4562381257412405
7,medium1k,minilm,mean,cosine,random5,gmm50,2.0,754.0,0.368,2.4562381257412405
8,medium1k,minilm,mean,cosine,random5,gmm50,3.0,677.0,0.33,2.4562381257412405
9,medium1k,minilm,mean,cosine,random5,gmm70,1.0,386.0,0.186,2.5726078636543726
10,medium1k,minilm,mean,cosine,random5,gmm70,2.0,853.0,0.412,2.5726078636543726
11,medium1k,minilm,mean,cosine,random5,gmm70,3.0,430.0,0.208,2.5726078636543726
12,medium1k,minilm,mean,cosine,random10,kmeans50,1.0,485.0,0.236,2.344502489096013
13,medium1k,minilm,mean,cosine,random10,kmeans50,2.0,578.0,0.282,2.344502489096013
14,medium1k,minilm,mean,cosine,random10,kmeans50,3.0,696.0,0.339,2.344502489096013
15,medium1k,minilm,mean,cosine,random10,kmeans70,1.0,570.0,0.275,2.3089361240466437
16,medium1k,minilm,mean,cosine,random10,kmeans70,2.0,448.0,0.216,2.3089361240466437
17,medium1k,minilm,mean,cosine,random10,kmeans70,3.0,736.0,0.355,2.3089361240466437
18,medium1k,minilm,mean,cosine,random10,gmm50,1.0,440.0,0.215,2.2320122558715916
19,medium1k,minilm,mean,cosine,random10,gmm50,2.0,662.0,0.323,2.2320122558715916
20,medium1k,minilm,mean,cosine,random10,gmm50,3.0,733.0,0.357,2.2320122558715916
21,medium1k,minilm,mean,cosine,random10,gmm70,1.0,626.0,0.302,2.215569816178007
22,medium1k,minilm,mean,cosine,random10,gmm70,2.0,523.0,0.253,2.215569816178007
23,medium1k,minilm,mean,cosine,random10,gmm70,3.0,594.0,0.287,2.215569816178007
24,medium1k,minilm,mean,cosine,random25,kmeans50,1.0,280.0,0.137,2.167467803044139
25,medium1k,minilm,mean,cosine,random25,kmeans50,2.0,84.0,0.041,2.167467803044139
26,medium1k,minilm,mean,cosine,random25,kmeans50,3.0,1566.0,0.764,2.167467803044139
27,medium1k,minilm,mean,cosine,random25,kmeans70,1.0,675.0,0.326,2.108817303631486
28,medium1k,minilm,mean,cosine,random25,kmeans70,2.0,146.0,0.07,2.108817303631486
29,medium1k,minilm,mean,cosine,random25,kmeans70,3.0,1076.0,0.52,2.108817303631486
30,medium1k,minilm,mean,cosine,random25,gmm50,1.0,425.0,0.207,2.005131831203682
31,medium1k,minilm,mean,cosine,random25,gmm50,2.0,205.0,0.1,2.005131831203682
32,medium1k,minilm,mean,cosine,random25,gmm50,3.0,1273.0,0.621,2.005131831203682
33,medium1k,minilm,mean,cosine,random25,gmm70,1.0,531.0,0.256,2.1682345651467023
34,medium1k,minilm,mean,cosine,random25,gmm70,2.0,99.0,0.048,2.1682345651467023
35,medium1k,minilm,mean,cosine,random25,gmm70,3.0,1227.0,0.592,2.1682345651467023
36,medium1k,minilm,mean,cosine,knn50,kmeans50,1.0,6.0,0.003,1.935323840356878
37,medium1k,minilm,mean,cosine,knn50,kmeans50,2.0,49.0,0.024,1.935323840356878
38,medium1k,minilm,mean,cosine,knn50,kmeans50,3.0,1994.0,0.972,1.935323840356878
